id   side   exit_ct              exit_price    pnl_corrected      close_dec_near
---  -----  -------------------  ------------  -----------------  --------------
526  SHORT  2026-08-19 21:16:27  29660.964286  -69.4285719999971  0             
530  SHORT  2026-08-20 08:15:26  29335.75      13.0               0             
538  SHORT  2026-08-21 01:45:01  29373.0       30.5               0             
542  SHORT  2026-08-21 09:27:42  29310.0       0.0                0             
551  SHORT  2026-08-24 22:09:04  29163.0       0.0                0             
557  LONG   2026-08-25 07:30:54  29360.75      46.5               0             
558  LONG   2026-08-25 08:15:02  29328.0       -22.5              0             
560  SHORT  2026-08-25 14:30:16  29222.5       81.0               0             
566  LONG   2026-08-27 12:01:49  29660.0       97.0               0             
568  SHORT  2026-08-28 07:23:02  29658.0       -32.0              0             
569  SHORT  2026-08-28 08:45:28  29668.5       63.0               0             
570  LONG   2026-08-28 13:48:34  29471.75      17.0               0             
571  LONG   2026-08-30 18:13:13  29414.75      -44.5              0             
575  SHORT  2026-08-31 10:15:28  29420.75      32.5               0             
578  LONG   2026-08-31 13:10:48  29459.0       92.0               0             
580  SHORT  2026-08-31 13:38:19  29397.5       39.5               0             
581  SHORT  2026-09-01 03:06:33  29370.75      190.5              0             
591  SHORT  2026-09-03 09:20:45  29355.0       -140.0             0             
