11:56|29525.5|29528.75|29521.0|29523.75
11:57|29524.25|29540.25|29523.75|29539.25
11:58|29539.25|29548.0|29530.5|29532.0
11:59|29532.0|29533.0|29525.5|29527.75
12:00|29528.5|29534.25|29520.0|29520.5
12:01|29520.25|29530.75|29519.75|29529.5
12:02|29529.25|29530.0|29510.25|29510.25
12:03|29510.5|29515.25|29508.75|29512.0
12:04|29512.0|29519.75|29511.0|29519.25
12:05|29519.5|29520.25|29514.5|29518.0
12:06|29517.75|29519.0|29506.75|29506.75
12:07|29506.75|29508.5|29503.75|29504.75
12:08|29505.0|29508.25|29495.75|29498.0
12:09|29498.25|29499.5|29492.25|29493.0
12:10|29492.75|29499.0|29490.25|29498.25
12:11|29498.25|29501.75|29495.75|29498.25
12:12|29498.75|29499.25|29489.5|29492.75
12:13|29492.5|29495.5|29489.5|29491.0
12:14|29491.25|29494.5|29486.5|29490.5
12:15|29490.5|29497.5|29490.25|29492.75
12:16|29492.75|29495.25|29489.25|29492.0
