-- distinct (name8,type,action) -> (limit_price, stop_price, qty, state): first snapshot id, ct, count
   ('9fcd8c7c', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1576 2026-09-04 10:32:02 n= 1
   ('9fcd8c7c', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1577 2026-09-04 10:32:02 n= 1
   ('9fcd8c7c', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1578 2026-09-04 10:32:02 n= 68
   ('9fcd8c7c', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1646 2026-09-04 10:48:00 n= 1
   ('9fcd8c7c', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1647 2026-09-04 10:48:00 n= 2
   ('9b146ffa', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1583 2026-09-04 10:34:01 n= 1
   ('9b146ffa', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1584 2026-09-04 10:34:01 n= 1
   ('9b146ffa', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1585 2026-09-04 10:34:01 n= 71
   ('9b146ffa', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1656 2026-09-04 10:50:00 n= 1
   ('9b146ffa', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1657 2026-09-04 10:50:00 n= 2
   ('7dd07a19', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1590 2026-09-04 10:36:01 n= 1
   ('7dd07a19', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1591 2026-09-04 10:36:01 n= 1
   ('7dd07a19', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1592 2026-09-04 10:36:01 n= 74
   ('7dd07a19', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1666 2026-09-04 10:52:00 n= 1
   ('7dd07a19', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1667 2026-09-04 10:52:00 n= 1
   ('6a5da3fa', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1597 2026-09-04 10:38:01 n= 1
   ('6a5da3fa', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1598 2026-09-04 10:38:01 n= 1
   ('6a5da3fa', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1599 2026-09-04 10:38:01 n= 73
   ('6a5da3fa', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1672 2026-09-04 10:53:10 n= 1
   ('6a5da3fa', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1673 2026-09-04 10:53:10 n= 17
   ('183d16ad', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1604 2026-09-04 10:40:01 n= 1
   ('183d16ad', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1605 2026-09-04 10:40:01 n= 3
   ('183d16ad', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1608 2026-09-04 10:40:01 n= 66
   ('183d16ad', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1674 2026-09-04 10:53:11 n= 1
   ('183d16ad', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1675 2026-09-04 10:53:11 n= 16
   ('993322b9', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1614 2026-09-04 10:42:01 n= 1
   ('993322b9', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1615 2026-09-04 10:42:01 n= 3
   ('993322b9', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1618 2026-09-04 10:42:01 n= 58
   ('993322b9', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1676 2026-09-04 10:53:11 n= 1
   ('993322b9', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1677 2026-09-04 10:53:11 n= 15
   ('b42631c8', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1624 2026-09-04 10:44:01 n= 1
   ('b42631c8', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1625 2026-09-04 10:44:01 n= 3
   ('b42631c8', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1628 2026-09-04 10:44:01 n= 50
   ('b42631c8', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1678 2026-09-04 10:53:11 n= 1
   ('b42631c8', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1679 2026-09-04 10:53:11 n= 14
   ('fa195d44', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1634 2026-09-04 10:46:01 n= 1
   ('fa195d44', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1635 2026-09-04 10:46:01 n= 3
   ('fa195d44', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1638 2026-09-04 10:46:01 n= 42
   ('fa195d44', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1680 2026-09-04 10:53:11 n= 1
   ('fa195d44', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1681 2026-09-04 10:53:11 n= 13
   ('60adff7a', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1644 2026-09-04 10:48:00 n= 1
   ('60adff7a', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1645 2026-09-04 10:48:00 n= 3
   ('60adff7a', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1648 2026-09-04 10:48:00 n= 34
   ('60adff7a', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1682 2026-09-04 10:53:11 n= 1
   ('60adff7a', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1683 2026-09-04 10:53:11 n= 12
   ('3bea0045', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1654 2026-09-04 10:50:00 n= 1
   ('3bea0045', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1655 2026-09-04 10:50:00 n= 3
   ('3bea0045', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1658 2026-09-04 10:50:00 n= 26
   ('3bea0045', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1684 2026-09-04 10:53:11 n= 1
   ('3bea0045', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1685 2026-09-04 10:53:11 n= 11
   ('04b3e307', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1664 2026-09-04 10:52:00 n= 1
   ('04b3e307', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1665 2026-09-04 10:52:00 n= 3
   ('04b3e307', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1668 2026-09-04 10:52:00 n= 18
   ('04b3e307', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1686 2026-09-04 10:53:11 n= 1
   ('04b3e307', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1687 2026-09-04 10:53:11 n= 10
   ('931a761a', 'stop', 'sell') (29590.5, None, 1, 'Initialized') first 1688 2026-09-04 10:53:11 n= 1
   ('931a761a', 'stop', 'sell') (29590.5, None, 1, 'Submitted') first 1689 2026-09-04 10:53:11 n= 9
   ('931a761a', 'stop', 'sell') (29590.5, None, 1, 'Accepted') first 1698 2026-09-04 10:53:11 n= 132
   ('931a761a', 'stop', 'sell') (29590.5, None, 1, 'CancelPending') first 1830 2026-09-04 11:59:02 n= 1
   ('931a761a', 'stop', 'sell') (29590.5, None, 1, 'CancelSubmitted') first 1831 2026-09-04 11:59:02 n= 1
